sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5
0,0.18495053333907505,0.9697082645287082,0.95831347328199,0.9956207853775145,0.5513438553464407
1,0.3872325880518382,0.9688780554753478,0.9584984813395561,0.9956783899842558,0.5482252615135623
2,0.22055557364025402,0.9681196689095383,0.9583301700086838,0.9958833723220764,0.5526432462251318
3,0.13966915838599178,0.9684309540031631,0.9588532341205477,0.9956948807307694,0.5461497117214126
4,0.894956859970913,0.9690711371167259,0.9591272151428203,0.9956213907331458,0.5459172039787492
5,0.8312959857043629,0.9696100404469693,0.959188647575647,0.9956217805764908,0.5443977135900478
6,0.27028223539254487,0.969465112522233,0.9586317968515945,0.9957480554268536,0.545601961229247
7,0.21335890101269264,0.9695053453350213,0.958681452836286,0.9956189160281284,0.5451934083458445
8,0.3782149584574216,0.9690727386161985,0.9584663898963202,0.9957476392494836,0.5493645413480482
9,0.6743632194534818,0.9686011588851628,0.958368087945114,0.9957240007374653,0.5472853655751777
10,0.7626728351624907,0.9682861952448287,0.9579094700301155,0.9957953295562819,0.5481736149231875
11,0.8143675702127222,0.968081416409154,0.9579042124059389,0.9956942622207706,0.5468321985214695
12,0.8711796045974888,0.9679256511751015,0.9579352682162169,0.9956524636311916,0.5477158366025092
13,0.7457616180781209,0.9677439585164112,0.9578294548317478,0.9958480147751568,0.55134023044172
14,0.5838638028159474,0.967798539525562,0.9581383926614595,0.9956307827451683,0.5474195873158539
15,0.4111407537852016,0.9679971368306401,0.9582062746288766,0.9955867022592629,0.5470282434714936
16,0.7293911629917821,0.9686076959929724,0.958444791699024,0.9956473845410396,0.5465224565830171
17,0.8710519230916993,0.9686766112790188,0.9584547767460785,0.995575836033255,0.5458266634555644
18,0.9466489706353926,0.9686598831706393,0.9584516874082003,0.9955725702232696,0.5459471667009942
19,0.9551722346460898,0.9686630312909481,0.9584916588399985,0.9955441749314748,0.5462720214303488
20,0.9430312011720485,0.9686206907781457,0.9583884443413216,0.995590461942853,0.5465740230441963
21,0.8622839253431968,0.9687736725668162,0.9587271809649585,0.9954383776973291,0.547190981478356
22,0.4385256879617905,0.9690261497488379,0.9591392417908667,0.9954006994927317,0.5458348105045504
23,0.17017521847345038,0.9691555625675348,0.959505821923837,0.9952858684742928,0.5473729040882914
24,0.6957314952904441,0.9696445025926618,0.9597302793195167,0.9953046657314247,0.5465212925011195
25,0.8713161005366801,0.9702206906991275,0.9603360491183632,0.995389630805568,0.5448084331658769
26,0.9520906699378143,0.9706415829249733,0.9606016925358609,0.9953278670017587,0.545104275292877
27,0.9234047889707003,0.9710196980444484,0.960512282773344,0.9953741630252848,0.5437885925491176
28,0.8045691031854104,0.9717496330274249,0.9604993818933205,0.9953279357891113,0.5418819311965039
29,0.6277625629725858,0.9715007822380595,0.9600025464539127,0.9954106686420316,0.5410175685002724
30,0.4919682313259926,0.9703436844733452,0.959204523654977,0.9956437748620562,0.5437394181350514
31,0.8519487770062599,0.9694952755074081,0.9587914275984843,0.9957265185948618,0.5516400630762089
32,0.9349527134302619,0.9697829240086802,0.9594179739900818,0.9956414429333436,0.5454017127353756
33,0.967923979635761,0.9699585549670837,0.9594771728910475,0.9956671407021073,0.5463656122513919
34,0.7734704892793383,0.9700255534829455,0.959182613419434,0.9957135058953106,0.5461064212633746
35,0.2378924291581725,0.9699058543496994,0.9589467830441971,0.9957874983416856,0.5463870169288013
36,0.17362215152425095,0.9695668029791873,0.9582140156767034,0.9955354602198475,0.558082965387988
37,0.6292713701244839,0.9686848412892815,0.9575646691172386,0.9957185363167923,0.5571237847311739
38,0.877094967391255,0.9675769113520231,0.9566432408347011,0.9958841322025733,0.5764259651611189
39,0.6035681306381445,0.967420882286972,0.9576948691377382,0.9959550728589173,0.5510816920852194
40,0.528377058775425,0.9676586807844253,0.9579489269568298,0.9959377707921879,0.5536109172151417
41,0.6328545898014161,0.968362266996324,0.9580943120086216,0.9958682653574945,0.5521811926859811
42,0.46551989072351646,0.9687712058709306,0.9587073922326678,0.9957085274738053,0.5464229282754576
43,0.10926156474710871,0.9686726065631609,0.9587657960719582,0.9957220147750125,0.5472085499515226
44,0.5157115578491593,0.9688034554662174,0.9587299153345584,0.9958660452748783,0.5502421547237046
45,0.7816741845193825,0.968914160806174,0.9591326145401675,0.9957969815126149,0.5469191792855841
46,0.9224583006875876,0.9695288347470853,0.959353986047685,0.9957652507881987,0.5445054000218529
47,0.8489810092650398,0.9697712681480721,0.9592062499017259,0.9958200177014195,0.5462206834121754
48,0.8179436342621593,0.9699752620474978,0.9588503881074304,0.9957981804194235,0.5519279971346582
49,0.6331462396681959,0.9695287912426739,0.9586937796124573,0.9958758550553107,0.5488006527162593
50,0.2796025052374546,0.9692887512353339,0.9584366371668711,0.9957904422663382,0.5759548784605766
51,0.2185858476347713,0.9694632162879794,0.958545253858881,0.9955911465796691,0.5548636182942234
52,0.35657103204168966,0.9690672929057894,0.958391107078874,0.995574864065159,0.55834005345789
53,0.2601304436311278,0.9688936498198287,0.9582270591667108,0.9956794861967857,0.5586611122487803
54,0.15714477963815646,0.9687459285615266,0.957917506750417,0.995899453305851,0.5564115014347589
55,0.4143120789743239,0.9687355747446411,0.957627168378805,0.9957422554616714,0.561989862537496
56,0.3671623414419642,0.9688296258156898,0.9578866412550406,0.9956637559966407,0.5694467216779984
57,0.3497328651826557,0.9681595170129136,0.9575419661425918,0.9956553215526239,0.5626652426228715
58,0.10940418159691805,0.9681696252015601,0.9577102158700197,0.9957851152301479,0.5750952713507758
59,0.11388273666998315,0.9688156857747617,0.9585115824786808,0.9959173892184028,0.5529794210649809
60,0.7785128359314853,0.9692232578092517,0.9588591546130089,0.9958449018938264,0.5501864970722249
61,0.8709553182540224,0.9694085881163373,0.9587235327998653,0.995746334703444,0.5528020949760369
62,0.9694761861150973,0.9693278360771663,0.9587453567338033,0.9955698459316343,0.5656280554505193
63,0.9860516673703771,0.9697026641098321,0.9591149815371978,0.9957707686234235,0.5512338737554303
64,0.9431626740636532,0.969775557334932,0.95897068115805,0.9957324297624328,0.5531509976592333
65,0.8778152177180686,0.9695465156684562,0.9586428688486203,0.9956442314678843,0.5587567019280504
66,0.7258462606806343,0.9695840702751581,0.9587216978311731,0.9958448212138622,0.5758930406611862
67,0.5539585782814234,0.9697171112280625,0.958670835550245,0.9955897151728161,0.5664149572296878
68,0.29446046765616474,0.9692747313121021,0.9584405185226401,0.9958877438344874,0.5785245131110929
69,0.4271917983673727,0.9690607815821893,0.9584277476426891,0.9958806459654234,0.5789855365084782
70,0.6900170270103135,0.9690857803343645,0.9585291058117184,0.995853140753803,0.5774992382848809
71,0.48368468562674627,0.9690194642524806,0.9584214520139036,0.9957617928681177,0.5747855515237523
72,0.2303028983917414,0.9691690912384238,0.9584235058147597,0.9957867017296899,0.57615168144383
73,0.2229044035105078,0.9693007110870864,0.9585615467048735,0.9959015879500375,0.5789451681091546
74,0.3153198685035605,0.9692721475293796,0.958659505016464,0.995814348340781,0.5773761201870258
75,0.6480461004647496,0.9688980316665622,0.9584461217506507,0.9958981204743443,0.5792272579308826
76,0.862325292717784,0.968999342093019,0.9585989773999491,0.9959516183067066,0.5798241005805103
77,0.9553833667325361,0.9695276992060596,0.959014754296967,0.9957797430100407,0.5736605797347523
78,0.9084010495689037,0.9697972786367833,0.9591367863419509,0.9959627924760932,0.5805317275994729
79,0.8747088785261476,0.9699995523323569,0.9592395341955962,0.9959420002701621,0.5789784417399952
80,0.7147976193918641,0.9697388146696202,0.9588610927913378,0.9960120588235888,0.5810112577896956
81,0.5744175573827609,0.96946789587353,0.9584770192728574,0.9960793667291331,0.5824006664725258
82,0.3938455680867235,0.9694061587132178,0.9584451320205466,0.9960424431524558,0.5815194114653337
83,0.36557149194219324,0.9692438873767859,0.9583921933072435,0.9960475066370519,0.582839900327256
84,0.4639512200525253,0.9688521157131422,0.9580718880137167,0.9960844310767069,0.5830460948402214
85,0.731564542149589,0.968850387323805,0.9581722853097698,0.9961413128278023,0.5835604593129335
86,0.943684237084985,0.9692661142628083,0.9587060325439469,0.9960491809389462,0.5823243977702276
87,0.9791225333760039,0.9695417912135812,0.9588194343364304,0.9960982379500153,0.5824948904129673
88,0.8464464061425742,0.9695001760332863,0.9585560931601994,0.9960932471996868,0.5831043372026151
89,0.8419826597045864,0.9696517953407942,0.9587862007148695,0.9961640289576233,0.5852533477884208
90,0.866684821466773,0.9698051435332745,0.9591708108669288,0.9961576395825273,0.5848751622127796
91,0.7195470248985368,0.9693159711073138,0.958531318390658,0.9962633739285013,0.5868353585328014
92,0.30464008330239173,0.9696749843383142,0.9584646833051754,0.9961828239795679,0.585212034385849
93,0.07299109827545656,0.9694461174526809,0.9580036551557655,0.9962175364782939,0.58551373274656
94,0.07974880205501486,0.9682056452153802,0.9569626584641109,0.9962324866946721,0.5900824332919081
95,0.41516441047737157,0.9673556558330378,0.9568024929124337,0.9970460295938232,0.6055672949764389
96,0.5543012600401395,0.9673791431484479,0.9564572619738867,0.9967396005780078,0.5953900491666925
97,0.7327233339131899,0.9677697714581238,0.9564433359053761,0.9963064388800107,0.5911930049213997
98,0.8732581773018305,0.9676106703083341,0.9560922196058573,0.9965728547482438,0.5955609905699651
99,0.7786305669485866,0.9668021467213219,0.956070023001002,0.9965776332237862,0.5937528037060991
100,0.3961320393933425,0.966043167062111,0.9561707108752862,0.9968735354085546,0.5932810777783684
101,0.0973991551098547,0.9664330077480991,0.9564172878149729,0.996772497391018,0.5912751180120775
102,0.09426363268382831,0.9674912770072507,0.9570461779683178,0.9962368589819363,0.5903274456845561
103,0.3058990190710238,0.9693527014347033,0.9581950439396417,0.9961829232241665,0.5840943888312095
104,0.38479921413561724,0.9694389957199454,0.9584507358332753,0.9960842960537575,0.5828957819057012
105,0.5665416348770727,0.9682497107541703,0.9574909579238027,0.996247061816359,0.5870910761136134
106,0.7666063587284694,0.9682749022642679,0.9575351192386402,0.9963310687155056,0.5879411579917764
107,0.8844853999109075,0.9688561368461097,0.9581216277422852,0.9961703027934709,0.5855632192606952
108,0.8383552068622642,0.9693452432459114,0.9583842214094556,0.9961854058552857,0.5855399747612866
109,0.7732681204538947,0.969299824480457,0.9581155758481341,0.9962985807207649,0.5876750609923045
110,0.34975473467666335,0.9689928977726571,0.9577093463661592,0.996328836330246,0.5898139321258835
111,0.31981288842949046,0.9690381521227861,0.9575909025887108,0.996210869704744,0.5864687745187891
112,0.7614183322346025,0.9684470903627701,0.956928837887261,0.996269604350891,0.5908370588673201
113,0.9462913998714433,0.9676778805787778,0.956415162814593,0.9964522767343568,0.5948607205008477
114,0.8096224553045478,0.9669160299400918,0.9562525729862645,0.9964883120855668,0.5930215714593678
115,0.6644297919824196,0.9666001413702818,0.9561967014607978,0.996472416205536,0.5905930220470312
