sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.8253674772151716,0.9754880361456426,0.8587991991412884,0.9873288412706567,0.9883765727055212,0.9998610563825441,0.9996623718446251,0.9985604086956275,0.23468323781276063
1,0.8898478550371508,0.9754080996480592,0.8599195671174314,0.9872237664373033,0.988032314667772,0.9998554734524109,0.999664479380451,0.9985647793565924,0.23437142056932053
2,0.9101918870140775,0.9757727128231714,0.8599015633856648,0.9873246458700469,0.9883024380967067,0.9998586412325797,0.9996604776591361,0.998593475387983,0.23402775537319315
3,0.8101655695888852,0.9756376304976971,0.861259364610634,0.9875401222869501,0.9881612079637918,0.9998563923768506,0.9996533338159059,0.9986260661612892,0.2397433125529641
4,0.8598349207277192,0.9752861158368867,0.8598036400383908,0.9874414675694808,0.9884994336793824,0.9998618381455859,0.9996595053335723,0.9986284208891022,0.23285861235093827
5,0.9313914394558649,0.9752663177577652,0.859492741309308,0.9874506122081157,0.9885449133258287,0.9998620399414706,0.9996590003566476,0.9986301310474723,0.2323326465023856
6,0.9088980398748103,0.9748908402786907,0.8595309295035729,0.9874872067536502,0.9883845230496927,0.9998586120285948,0.9996570998199564,0.9986292789054526,0.24057444962785157
7,0.8814214855385658,0.9741776558961178,0.8586341152855491,0.9873525678558235,0.9884331083659773,0.9998603022363539,0.9996617757569313,0.9986276874479171,0.23593383015580457
8,0.9479622017141057,0.9736558018492081,0.8586854992751829,0.9872062890243326,0.988086104120457,0.9998544630574729,0.9996648273052664,0.9986240716310981,0.24319873208338863
9,0.9446366533028941,0.9735097284146362,0.8605921050046004,0.9871991158583221,0.9875089413645547,0.9998458706617751,0.9996596317049619,0.9986293055827884,0.252943419026672
10,0.965498610824171,0.9736323239749608,0.8608072818206589,0.9870389529490967,0.9873763648054431,0.9998433678435621,0.9996636145822606,0.9986291744994196,0.25340051632347627
11,0.8880057903706359,0.9745637111286105,0.8601765596434081,0.987142690903715,0.987788462598761,0.9998513801420219,0.999663977125445,0.9986662980799013,0.2508617558917095
12,0.5969461149845886,0.9753384284193899,0.86236905125175,0.9872859720606769,0.9875095656724903,0.9998374619782577,0.9996518835085705,0.9986855931459095,0.2503499351825193
13,0.45189981566231774,0.9750403792733922,0.8626214648779478,0.9875625407153323,0.9880669183373944,0.9998521846613421,0.9996532674175693,0.9987202110687277,0.24683855846694153
14,0.605032870117319,0.974867558835483,0.8598257351778545,0.9876017636893468,0.9887211370736757,0.999864684308135,0.999655499277865,0.9987536592454246,0.2455342656197862
15,0.6695373613569021,0.9735340600699064,0.8595674453034521,0.9879190063423254,0.9887295543713794,0.9998601806612706,0.9996457449881834,0.9987755417604889,0.24469506028926266
16,0.7555740827876554,0.9723893110501428,0.8577399999271674,0.9877277419825647,0.9886867386885339,0.9998624459782253,0.9996507773620847,0.9987686490917269,0.24475684978372056
17,0.8703897724488294,0.9718082993707141,0.8604337244890707,0.9861839797175584,0.9865328757224567,0.9998295918143257,0.9996822079711911,0.998679903241441,0.2484339477862942
18,0.8464059698675521,0.9738758206110456,0.8610678166845093,0.9869779022468562,0.9871778487464578,0.9998292125560262,0.9996580848463125,0.9987092497877401,0.2507777211198333
19,0.6807610224193182,0.9744427965412259,0.8617591429895823,0.9920133370797379,0.9955340133107065,0.9954521597063541,0.9994804763348701,0.9986599974730079,0.2017964874136231
20,0.9152245643059589,0.975395863156559,0.8594079981849957,0.9875748800179076,0.9886447922414627,0.999864485791149,0.9996535366277797,0.9988293576613442,0.24920541362467794
21,0.5847042758364768,0.9751782328459268,0.8606835834676551,0.9878047947444603,0.9886499998856546,0.9998613968286636,0.9996487225005447,0.9988689191085107,0.2509115061559722
22,0.6647571059767553,0.9746926634381693,0.8610764182325689,0.987819722792031,0.9886035788442943,0.9998616348927597,0.9996498548640005,0.9988822324377872,0.25082092091432456
23,0.7650390918513365,0.9746539686857368,0.8606923824973329,0.9878658578987255,0.9886820531711322,0.9998625157333944,0.9996459615999937,0.9988773069460039,0.2506201922987022
24,0.5744906217789792,0.9748436186161612,0.8599766697688913,0.9879754883599815,0.9889171914748086,0.9998673235017911,0.9996436119127502,0.998893049860812,0.25083361170359514
25,0.24979521199336474,0.9749841264702607,0.8597885477733861,0.9877000369309927,0.9886124202223124,0.9998624868878376,0.9996509953130467,0.9988830485103923,0.25140991814174185
26,0.17863515278275854,0.9759447319687127,0.8601570820623835,0.9874022193733117,0.9885504380228545,0.9998625281965603,0.9996593580632201,0.9988676781463595,0.2524968784545872
27,0.07622541537888206,0.9765916819554367,0.8614283895943092,0.9880075346451492,0.9888619216867772,0.9998648583778507,0.9996421286628934,0.99891430293314,0.2510861735381505
28,0.4163440001848858,0.9763270445994412,0.8613987416960579,0.988256175895421,0.9891700893013203,0.9998707074617325,0.9996401714198959,0.9989378601647261,0.25053376926663606
29,0.37509108794408363,0.9760501411628303,0.8615410617133565,0.9881265196088879,0.9890586039498896,0.9998728181624893,0.9996476445895363,0.9989232403473364,0.25084479681972527
30,0.22463570790991386,0.9762018393572658,0.8613845526204565,0.9878481904226821,0.9889042460837719,0.9998698075832609,0.9996506938521152,0.9988963981164305,0.2519116123456766
31,0.16894801811068377,0.9763649176797362,0.861235871680475,0.9879132784395945,0.9889604923572887,0.9998676386894835,0.9996478052852752,0.9989042327826545,0.2511083978804427
32,0.5848671475826848,0.9765948421455917,0.8607579111699059,0.9879777374516517,0.9889869771273121,0.9998681253022422,0.9996459203988143,0.9989056265402083,0.25096378055982227
33,0.8612369452514106,0.9767097840113603,0.8608612866188883,0.988035827824723,0.9890231612308604,0.9998698669799274,0.9996463007684366,0.9989101578590706,0.2510035670272945
34,0.8969160992159421,0.9768976577810987,0.8615760910715394,0.9880575996256984,0.9890235659873611,0.9998721481008274,0.9996490609038525,0.9988953269264275,0.2514985348562647
35,0.6108834840908858,0.9766267485158987,0.86136908414647,0.9880435902454194,0.989035007678266,0.999870964278662,0.999646152629057,0.9989069093047263,0.2508996739617225
36,0.36428591139256034,0.9764508374252826,0.8615547247677214,0.988056598097401,0.9890389015530051,0.9998712134826173,0.9996468242043433,0.9988960635737498,0.2511130434353536
37,0.15534974635040483,0.9757944336650073,0.8608760388390276,0.9880592317415009,0.989023608314125,0.999868628989651,0.9996450670179337,0.9989064244416489,0.25071695303066094
38,0.4173609714552611,0.9756273347903565,0.8607907080450906,0.9878943753052061,0.9889128623155902,0.9998689409489948,0.9996502549063312,0.9988784656733214,0.25120291746269924
