sample_idx,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9
0,0.7860887454772416,0.9746618090145722,0.8604207593004906,0.9882329692283477,0.9892923456794374,0.9998139124074648,0.9996434226371015,0.9975390661041685,0.3461725095635639
1,0.8331645330317964,0.9742402224789795,0.8595209394649854,0.9903029110968842,0.991053628084943,0.9998063775889765,0.999602250072549,0.9976150866609056,0.31198093165646545
2,0.7084219870170555,0.9745070603763443,0.8588402802411959,0.9918815110927267,0.9954950847143117,0.9953340498070711,0.9995355251993556,0.9982548280372756,0.2160533578106621
3,0.2901060458020436,0.9762707489445853,0.8599143149884679,0.9918739151935524,0.9955169400583017,0.9953413767254421,0.9995322059824655,0.9982579025256628,0.2164873909631121
4,0.5117077449289608,0.9775477768057195,0.8611703350110713,0.9919246086428194,0.9955655561775224,0.9954205958820486,0.9995289326447531,0.9982690275376743,0.20576162067341447
5,0.780637317392519,0.9785944995400316,0.86346057023048,0.9867359302904042,0.9874727633335577,0.9998258198886036,0.9996796377418641,0.9979429194652736,0.34690855254530206
6,0.8014929782411971,0.9783173104970142,0.863463688456831,0.9916513514289662,0.9953953596304986,0.995401850592518,0.9995381040778851,0.9982621855015323,0.20686468593588944
7,0.6398460919847604,0.977062500503005,0.8601668236264025,0.9875114096874739,0.9882677841218,0.9998594722114268,0.9996613591224243,0.9979820103331248,0.31424611511642525
8,0.325238853743972,0.9761612679277054,0.8577723790840428,0.9871002198028692,0.9882180714471184,0.9998600750967076,0.9996790753776229,0.9975908189295895,0.3105947707909812
9,0.5321982829631549,0.9760675060161375,0.8590665882741669,0.9865453457834122,0.9872973718597026,0.9998501150121458,0.9996937537703188,0.997452506928265,0.3270358518231412
10,0.6201767823025421,0.9755887470914467,0.8607521279748357,0.9881400700154178,0.9890897194631741,0.9998164871025622,0.9996422096391334,0.9972819851689614,0.33791318195577524
11,0.4361545789948655,0.9756168507164329,0.8609823155116454,0.9889992823501692,0.9900979802695195,0.9998139721325222,0.9996088611538756,0.997326033523514,0.3439321928213394
12,0.21878562215457512,0.9758391188270669,0.8611597260392203,0.9905023038469091,0.9909233616182908,0.9998227445121254,0.9995834068486914,0.9975630289249812,0.2939679611234235
13,0.08104356807743893,0.9756657779347064,0.8604313855226456,0.989807502506957,0.9909551910597802,0.9997995440390142,0.9995631972499842,0.9975912642429243,0.28651901246993183
14,0.3061633486426715,0.9763545892976302,0.8609324013295674,0.9880536055670207,0.9890832127141927,0.9998126426355228,0.9996511588757847,0.9973957043410877,0.33927276362011344
15,0.30158064348009206,0.9765336412850106,0.860565357501097,0.9920025715205799,0.9955715200764647,0.9954370752236944,0.999531468163458,0.9982198707724772,0.21682360744093432
16,0.7682665633918053,0.9769437296340869,0.8617849908509365,0.9880438400707848,0.9889786069537796,0.9998215722144759,0.999645464201983,0.9974383631802178,0.33786606132412395
17,0.5174050083638817,0.9769001097170368,0.8619211489906321,0.9906671839919967,0.9912054758705854,0.999818777179608,0.9995778120196738,0.9975642569751049,0.3028464087189406
18,0.5588982929896392,0.9767322759161106,0.8620767256127392,0.9867292881414463,0.9871255761020691,0.9998330905036682,0.9996693137555257,0.9975100187134094,0.326450435776597
19,0.26226993306788793,0.9759922519371788,0.8614797979657834,0.9899303798340221,0.9907879448990093,0.999809558238507,0.9995412887360974,0.997705672809769,0.277260969783331
20,0.41698845398368617,0.9757612194031141,0.8615756326092395,0.9857920904215456,0.9861985520217087,0.9998301244498883,0.999695626521957,0.9973541924970214,0.33331171360673745
21,0.8257130344145653,0.9752918704863254,0.8609820479152874,0.9900641274588846,0.9907012781694862,0.9998236625483662,0.9995747373904208,0.9973693605019132,0.27398119445883573
22,0.8485605177156645,0.9753231887701413,0.8606021619294271,0.9873175198802234,0.9880700224189998,0.9998178307980851,0.9996655115877106,0.9973042779745613,0.3369641807939057
23,0.8694689612112818,0.9752304054644484,0.8604439871642514,0.9863245991950808,0.9871236027087978,0.9998206397109276,0.9996955137739381,0.9972210033734976,0.3390698167617123
24,0.4169137954976543,0.9756312729181082,0.8605549118438215,0.9885896586700901,0.9897748407407126,0.9998104886118371,0.999629550730575,0.9973147197290024,0.3442088010602373
25,0.29356262354218615,0.9762010439732314,0.8607680312386264,0.9907994676196225,0.9915881169557762,0.9998061571415195,0.9995770732615175,0.9975460459129768,0.31995645441025866
26,0.4434318210755074,0.9766359132758918,0.8610830690317957,0.9909980137844745,0.9918008306349015,0.9998070582996941,0.9995715723352654,0.9975836292879278,0.32422086429089464
27,0.4590764848728237,0.9767096212056342,0.8615009102648555,0.9910085504153067,0.9917739331620378,0.9998095388295282,0.9995687710949833,0.9975854362313566,0.322935283577891
28,0.5146078409025789,0.9765081711822957,0.861588187120175,0.9915533434233729,0.9953593398467377,0.9953384506771664,0.9995457768691611,0.998117253401214,0.2126135444173058
29,0.37446133370402124,0.9760459553934747,0.8616659895046886,0.9876325918985286,0.9883311432749337,0.9998219842641586,0.999653625908479,0.9974430733493619,0.3317578956306908
30,0.11024555552777895,0.9762000768045427,0.8613479807907115,0.9858042107347139,0.9863973797456043,0.9998286767141338,0.9997010588910917,0.9972743906182806,0.3343050462555363
31,0.28568347263134913,0.9766710573351887,0.8613493537015782,0.9880475616376183,0.9889908086658337,0.9998192769507215,0.9996455751692411,0.9972947516751024,0.33711668979232334
32,0.46117945645633823,0.976599930472884,0.8609151744068468,0.9908554266527348,0.9915398496877771,0.9998137790152806,0.9995723811261118,0.9974152867898641,0.3026665052272255
33,0.04888870549705771,0.976272716105592,0.8613688371242274,0.9871099682068365,0.9877980243133866,0.9998219838280914,0.9996690645702275,0.997353724513561,0.3350524737168436
34,0.4394314448794332,0.9760004083603745,0.8613170694469239,0.987698579422658,0.9884272665963821,0.9998206365702091,0.9996516598432765,0.9973414131495644,0.33507362985614236
35,0.3597714713338809,0.9758382002332233,0.8615383299579312,0.9866076433013141,0.987042885309643,0.9998281099296714,0.9996734007397325,0.9974176388002362,0.3334161586189712
36,0.17021826675561974,0.9760339151175773,0.8613603207294176,0.9863709474620428,0.9867880283457393,0.9998283123255036,0.9996779580200585,0.9974110797078438,0.33112925904033486
37,0.12867755045937976,0.9761559524244194,0.8613554918736448,0.9853180574788776,0.9859333023463854,0.9998278264605179,0.9997103945890371,0.9972176076171925,0.33451478537591
38,0.1145966384293139,0.9762310467025374,0.8607220756150545,0.9901241234254397,0.990842152783766,0.9998157923081309,0.9996046418369908,0.9973525315405212,0.27610025113172537
39,0.1307097563042091,0.9760611098751851,0.8608983126886394,0.9909458984864947,0.9916269920597673,0.9998109666738773,0.9995690235758822,0.9974898394544066,0.3115351995640556
40,0.0510403495321298,0.9759467201358577,0.860753599004008,0.9908710020001307,0.9915332915238944,0.9998139031901546,0.9995706129030669,0.9974522791813127,0.3074903656424475
41,0.05753547245827998,0.9762093661775573,0.8614425800180131,0.98568582666753,0.9861606951152698,0.9998326020543786,0.9996969669031853,0.9973317392404573,0.333172533359626
42,0.06959435324084474,0.9764385065889402,0.8612345414637614,0.9887420249867584,0.9897633394479246,0.9998152709709749,0.9996189041285971,0.997350981173345,0.3401559479576248
43,0.407744476976187,0.9765036555624279,0.8612442721988736,0.9879423174246004,0.9889519611522749,0.9998165364648334,0.9996513769551084,0.9972998453860459,0.3369294188659073
44,0.600373715764833,0.9768093463820041,0.8611526094109231,0.9905444371441483,0.9911590005930172,0.9998166323903305,0.9995847483905547,0.9974220058428709,0.2855836090590205
45,0.7410773633386791,0.9768967717036685,0.8615671376866659,0.9895413835579611,0.9906546125941816,0.9998189955774899,0.9995789075638177,0.99738893456518,0.34059386020234844
46,0.7420767124991537,0.9768651179746408,0.8616555160248693,0.9869323393780791,0.987469562762494,0.9998256791696539,0.9996677796863142,0.9974182543477309,0.3299685219556871
47,0.6271899914451936,0.976639995961204,0.8616504542221242,0.9863816310279346,0.9868705496691745,0.99982969589327,0.9996808392009312,0.9973841634102205,0.33277548846797766
48,0.6418435331271264,0.9765490279192434,0.8616776528324894,0.9879344022522684,0.9886917521387364,0.999822480048013,0.999641112640075,0.9973515951968704,0.33424765912836385
49,0.5905098199029527,0.9763852930299971,0.8618494473175632,0.9872457539809945,0.9879273683162026,0.9998239003600078,0.9996627937811655,0.9973361259250985,0.3370546658567454
50,0.5633713096303942,0.976632219947765,0.861863376338182,0.9871162638738051,0.9876739551126871,0.9998256855487226,0.9996614421595588,0.9974073865042501,0.33387308862136134
51,0.751442681622686,0.9767626113926593,0.8619179827282238,0.9861532473591138,0.9866325891382204,0.9998297711550141,0.9996869647345037,0.9973456902791038,0.3355559813565667
52,0.06283433691339128,0.9765553721693214,0.8618362402884902,0.9861524385279508,0.9867566738617987,0.9998297144342442,0.9996906948700609,0.9972896758995143,0.34006701706614934
53,0.1610622836422525,0.9760088908215906,0.8614656015860581,0.9871991821478286,0.9878065546836836,0.999825367012067,0.9996636310596633,0.9973519494823327,0.3375217201818187
54,0.39270888423241734,0.9751295216026191,0.8605053198511865,0.9888290898657985,0.989766038381441,0.9998147101887732,0.9996100231790988,0.9972342151351261,0.342360721434963
55,0.5431491454911274,0.9747874798258199,0.8598207179729078,0.9859357581632839,0.9867153280854665,0.9998234506245635,0.9997052411332401,0.9971555193977861,0.34404522499839796
56,0.5478820087251193,0.9758286323779112,0.860165986642798,0.9874671853194297,0.9884548727652062,0.9998158526898996,0.9996663199464098,0.9971784005447927,0.3445994073883403
57,0.1942768460527886,0.9763623092538711,0.8605875123921075,0.9913331384909126,0.9953237332945324,0.9958212016704878,0.9995526382113248,0.9979028789729155,0.2214526693689343
58,0.5338750073767802,0.9765213243716072,0.8616598690788321,0.9895917053445061,0.9907594449811319,0.9998158837629562,0.9995760292617749,0.9973658140924716,0.3401057973544258
59,0.7152699599559998,0.9763691478650856,0.8617651715273162,0.9888626470439384,0.9897906677552217,0.999819395161363,0.9996071148123346,0.9973990334816765,0.3383708708385052
60,0.7242899286318697,0.9760836769007042,0.8614491729037945,0.9877762858114396,0.9885529142569632,0.9998186688089454,0.9996496084144468,0.9973582951996456,0.33409621178716886
61,0.48564817158686563,0.9761533895733209,0.8612312752586877,0.9861562530109107,0.9867121346321728,0.999827404542136,0.9996892970812752,0.9973220047900817,0.33597991906160807
62,0.35989645394313324,0.9760698272437537,0.8611268006117089,0.9873559114118454,0.9881800690162742,0.9998190635892726,0.9996661108425527,0.9972918834130223,0.3387318981086699
63,0.3277882828786928,0.9759699521792599,0.8610935515234525,0.9887109169437972,0.9897447317639142,0.9998127932327825,0.999620784336977,0.997299641595402,0.3416153589690762
64,0.38314073358166484,0.975948907469314,0.8612622128752858,0.9893926132374176,0.9906464158159856,0.9998097928514923,0.9995887025703948,0.9972779252242947,0.34207378757817863
65,0.6682211693751859,0.9761625164160221,0.8613240422504421,0.9889536028951831,0.9901740816545237,0.9998118541804133,0.9996128154915264,0.9972436129047101,0.343984189178981
66,0.19526355683938545,0.9763380009211747,0.8611395555028001,0.9899071063634449,0.9909325494430986,0.9998039915127362,0.9995457271115745,0.9975538012489817,0.2750132049945381
67,0.12013764907654222,0.976215737844649,0.8606424889490077,0.9906360353562278,0.9912891614009092,0.999814801082324,0.9995825131068701,0.9973717617532508,0.2840076315232385
68,0.2178575424959631,0.9761417657842851,0.8612502130518618,0.9876425966590096,0.9884738690083151,0.9998190892987281,0.9996569057767835,0.9972943326056041,0.33777430496292443
69,0.08589907360358864,0.9762587538208418,0.8614187455340679,0.987681346970596,0.9884058147797794,0.9998225392195691,0.9996527462199569,0.9973629055038583,0.3355068269285798
70,0.13079893116278138,0.9765672582884306,0.8615477862877016,0.9867668699686993,0.9872760372498927,0.9998268116764961,0.9996709065415825,0.9974141466420824,0.33264692132306967
71,0.41614671698671707,0.9765922264300914,0.8613251555291203,0.9866150568489676,0.9873040773285431,0.9998238893175504,0.9996828771721696,0.9973021536304639,0.3361251213226676
72,0.4468640040213986,0.9767609495821447,0.8616623417886685,0.9880087757922762,0.988929305489896,0.9998207364247775,0.9996443752121631,0.9973074469634059,0.338892544654714
73,0.640224943857383,0.9766985507799973,0.8617653186467145,0.9888354750117285,0.9896265166141852,0.9998225979560249,0.9996084461010043,0.997493993227122,0.33429115523584174
74,0.4077153288256383,0.9762654639587824,0.8615981750762185,0.9860159078573641,0.986461977325999,0.9998298874417855,0.9996882706012619,0.9973609165391902,0.3328669035670405
75,0.2953586352031047,0.9760330728067182,0.8611464841775022,0.9873424248695994,0.988145946267925,0.9998184736585874,0.9996667248249724,0.997283692058677,0.3378649128923682
76,0.43123247468345477,0.9760667986464129,0.8609843966627655,0.9880118795135657,0.9889556486615351,0.9998194555452795,0.9996445064700415,0.9972371235106265,0.3398139783458795
77,0.35880274744815766,0.9764161988238478,0.8608378158207892,0.9897020138022524,0.9909442783175639,0.9998026910106435,0.9995559494985289,0.9973235852716671,0.3207857312935648
78,0.4813836655934391,0.9766406502487665,0.8611306831893528,0.9896611106486107,0.9909339329193925,0.9998081233572694,0.9995677878094639,0.9972833566177528,0.3299458354478501
79,0.27137257065577486,0.9766699643102211,0.8616494644693825,0.9896677159303241,0.9909071710828309,0.9998139250206545,0.9995758061927892,0.9972159345247272,0.34012828098887354
